,bedrooms,beds,accommodates,host_listings_count,host_total_listings_count,bathrooms,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,latitude,longitude
14232,2.0,2.0,3.0,2.0,2.0,1.0,3.0,365.0,3.0,3.0,365,365,30,60,90,270,12.0,6.0,0.0,6.0,4.5,4.33,4.25,4.58,4.83,4.8,4.58,0.6,36.0,1692.0,35.324677,25.36669
14233,2.0,4.0,5.0,11.0,16.0,1.0,2.0,365.0,2.0,2.0,365,365,23,39,65,316,16.0,4.0,0.0,4.0,5.0,4.88,5.0,5.0,5.0,4.94,5.0,0.48,24.0,3600.0,35.51053,23.97414
14234,3.0,4.0,6.0,1.0,1.0,2.0,4.0,1125.0,4.0,4.0,1125,1125,30,60,84,219,4.0,2.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,16.0,2880.0,35.494392,23.706711
14235,1.0,2.0,4.0,1.0,1.0,1.0,6.0,30.0,6.0,6.0,1125,1125,30,60,90,365,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,0.0,0.0,35.501789,23.698668
14236,2.0,2.0,5.0,1.0,1.0,3.0,3.0,365.0,3.0,3.0,1125,1125,30,60,90,330,14.0,3.0,0.0,3.0,5.0,4.93,4.93,5.0,4.79,4.79,5.0,0.43,18.0,1548.0,35.5029,23.6103
14237,1.0,1.0,2.0,4.0,5.0,1.0,3.0,365.0,3.0,3.0,365,365,30,60,69,274,2.0,0.0,0.0,0.0,5.0,4.5,5.0,5.0,4.5,5.0,4.5,0.1,0.0,0.0,35.18981,24.39838
14238,1.0,1.0,2.0,118.0,140.0,1.0,2.0,365.0,2.0,2.0,365,365,16,40,66,298,23.0,13.0,0.0,12.0,4.87,4.91,4.78,4.96,4.96,4.78,4.91,0.75,78.0,3042.0,35.097649,24.68763
14239,1.0,2.0,3.0,1.0,2.0,1.0,4.0,365.0,4.0,4.0,365,365,17,24,25,196,54.0,22.0,0.0,22.0,4.94,4.89,4.98,4.91,4.89,4.85,4.87,1.56,26.6,14080.0,35.097435,24.689484
14240,2.0,2.0,6.0,20.0,21.0,1.7,4.0,365.0,4.0,4.0,1125,1125,0,0,0,0,4.0,0.0,0.0,0.0,5.0,5.0,4.75,5.0,5.0,5.0,5.0,0.13,0.0,0.0,35.449551,24.183678
14241,1.0,1.0,3.0,5.0,7.0,1.0,3.0,365.0,3.0,3.0,365,365,1,1,1,198,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07,0.0,0.0,35.512051,23.968843
14242,1.0,2.0,2.0,4.0,4.0,1.0,3.0,15.0,3.0,3.0,1125,1125,0,21,51,153,23.0,8.0,0.0,8.0,4.57,4.35,4.74,4.39,4.61,4.65,4.83,0.67,48.0,1776.0,35.517326,23.925596
14243,2.0,3.0,5.0,1.0,1.0,2.0,3.0,90.0,3.0,3.0,1125,1125,12,18,40,254,31.0,13.0,0.0,13.0,5.0,4.97,4.87,4.97,5.0,4.77,4.9,0.93,78.0,9438.0,35.35956,24.48719
14244,3.0,4.0,4.0,3.0,3.0,1.0,3.0,365.0,3.0,5.0,1125,1125,9,24,32,272,17.0,7.0,0.0,7.0,4.94,4.82,4.94,4.88,4.94,4.71,4.94,0.52,42.0,3402.0,35.50656,23.98919
14245,1.0,2.0,4.0,4.0,4.0,1.0,4.0,30.0,1.0,4.0,30,30,21,51,81,241,16.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.81,4.94,0.48,40.0,5200.0,35.433144,24.124044
14246,5.0,8.0,10.0,3.0,3.0,0.0,3.0,1125.0,1.0,3.0,1125,1125,0,21,51,251,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.06,0.0,0.0,35.47539,23.58669
14247,1.0,1.0,3.0,5.0,7.0,1.0,3.0,365.0,1.0,3.0,365,365,0,0,14,255,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.512039,23.968868
14248,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1125.0,3.0,3.0,1125,1125,30,60,90,365,7.0,4.0,0.0,4.0,4.86,4.71,4.71,5.0,4.71,4.86,4.71,0.35,24.0,1176.0,35.18957,24.22336
14249,1.0,2.0,4.0,1.0,1.0,1.0,2.0,180.0,2.0,2.0,1125,1125,0,0,0,203,3.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,0.0,0.0,35.3265,25.307604
14250,1.0,1.0,2.0,1.0,1.0,1.0,7.0,60.0,7.0,7.0,60,60,0,0,0,265,22.0,9.0,0.0,9.0,4.91,5.0,4.82,5.0,5.0,4.73,4.86,0.68,126.0,14490.0,35.50355148,24.01377487
14251,2.0,3.0,4.0,3.0,4.0,0.0,1.0,1125.0,1.0,2.0,1125,1125,12,18,27,122,4.0,2.0,0.0,2.0,5.0,4.75,5.0,5.0,5.0,5.0,4.75,0.13,12.0,1716.0,35.19931,24.402568
14252,4.0,4.0,8.0,165.0,301.0,2.0,5.0,365.0,1.0,7.0,99,99,25,55,74,215,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.209312,25.651962
14253,6.0,3.0,4.6,107.0,123.0,4.0,3.0,365.0,3.0,3.0,1125,1125,0,4,9,77,3.0,0.0,0.0,0.0,4.67,4.33,4.67,5.0,5.0,5.0,4.67,0.15,0.0,0.0,35.328518,24.281273
14254,2.0,4.0,4.0,1.0,1.0,1.0,2.0,59.0,1.0,2.0,59,59,0,0,0,42,10.0,2.0,0.0,2.0,4.9,4.8,5.0,5.0,4.9,4.8,4.9,0.3,12.0,756.0,35.363537,24.484526
14255,1.0,1.0,2.0,3.0,3.0,1.5,3.0,365.0,3.0,3.0,365,365,20,39,69,181,18.0,7.0,0.0,7.0,4.78,4.83,4.89,4.94,5.0,4.67,4.78,0.54,42.0,2478.0,35.23532927,23.67749158
14256,1.0,2.0,3.0,4.0,4.0,1.0,3.0,20.0,3.0,3.0,1125,1125,30,60,81,181,21.0,4.0,0.0,4.0,4.76,4.86,4.71,4.86,4.81,4.76,4.76,0.62,24.0,816.0,35.517235,23.925472
14257,2.0,4.0,6.0,2.0,2.0,3.5,3.0,30.0,3.0,3.0,1125,1125,8,25,52,130,4.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0.13,0.0,0.0,35.42768,24.19182
14258,4.0,2.0,6.0,2.0,2.0,2.0,5.0,365.0,5.0,5.0,365,365,10,40,52,135,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.42796,24.19222
14259,1.0,1.0,3.0,6.0,6.0,1.0,1.0,365.0,1.0,1.0,365,365,12,29,48,96,64.0,3.9,0.0,3.8,4.78,4.83,4.91,4.94,4.89,4.78,4.84,1.83,26.6,9348.0,35.339046,25.131277
14260,1.0,1.0,2.0,118.0,140.0,1.0,2.0,365.0,2.0,2.0,365,365,18,48,78,281,11.0,6.0,0.0,6.0,4.91,4.82,4.45,5.0,5.0,5.0,4.91,0.36,36.0,1404.0,35.09763,24.687651
14261,2.0,2.0,4.0,1.0,1.0,1.0,4.0,365.0,3.0,4.0,365,365,0,3,3,120,4.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,0.0,0.0,35.42065,24.138575
14262,1.0,1.0,2.0,2.0,2.0,1.0,1.0,60.0,1.0,1.0,1125,1125,0,0,0,0,6.0,0.0,0.0,0.0,4.83,5.0,4.83,4.5,4.5,4.67,4.83,0.18,0.0,0.0,35.321777,25.101763
14263,2.0,3.0,4.0,3.0,4.0,1.0,1.0,1125.0,1.0,2.0,1125,1125,5,10,18,90,19.0,11.0,0.0,11.0,4.95,5.0,5.0,5.0,4.89,5.0,5.0,0.58,66.0,8118.0,35.19931,24.402568
14264,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1125.0,1.0,2.0,1125,1125,6,10,19,70,20.0,5.0,0.0,5.0,5.0,5.0,5.0,4.95,5.0,4.95,5.0,0.6,30.0,1590.0,35.19931,24.402568
14265,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1125.0,1.0,3.0,1125,1125,20,47,65,290,11.0,5.0,0.0,5.0,4.91,5.0,4.91,5.0,5.0,4.91,4.82,0.34,30.0,3600.0,35.4892,23.99405
14266,1.0,2.0,3.0,1.0,1.0,1.0,1.0,90.0,1.0,1.0,90,90,18,39,69,337,26.0,13.0,0.0,15.0,4.96,4.85,5.0,4.96,4.81,4.77,4.92,0.82,78.0,3744.0,35.00728,25.13441
14267,3.0,4.0,6.0,4.0,4.0,1.0,6.0,730.0,2.0,6.0,1125,1125,30,60,90,302,10.0,2.0,0.0,2.0,4.9,4.9,4.6,5.0,5.0,4.7,4.6,0.3,24.0,3696.0,35.02433,25.88179
14268,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1125.0,1.0,1.0,1125,1125,30,60,90,192,86.0,3.9,0.0,3.8,4.83,4.83,4.9,4.88,4.95,4.51,4.85,0.4,26.6,10200.0,35.33475,25.12268
14269,5.0,7.0,6.0,2.0,2.0,3.0,4.0,730.0,3.0,5.0,1125,1125,27,53,83,255,4.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,8.0,1136.0,35.192223,24.563044
14270,4.0,3.0,8.0,2.0,2.0,4.0,5.0,365.0,1.0,5.0,1125,1125,8,27,31,100,1.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,0.0,0.0,35.50828171,23.96770096
14271,2.0,3.0,4.0,2.0,2.0,1.0,4.0,90.0,3.0,4.0,90,90,17,40,70,203,25.0,7.0,0.0,7.0,5.0,5.0,5.0,4.92,5.0,4.76,4.96,0.77,56.0,2968.0,35.277241,25.469873
14272,1.0,3.0,3.0,3.0,3.0,1.0,2.0,730.0,2.0,2.0,730,730,30,60,83,335,4.0,2.0,0.0,2.0,4.75,4.75,5.0,5.0,5.0,4.5,4.75,0.12,12.0,540.0,35.334854,25.067986
14273,3.0,6.0,8.0,1.0,1.0,2.0,4.0,1125.0,3.0,3.0,1125,1125,1,6,34,141,15.0,5.0,0.0,6.0,4.87,4.8,5.0,4.93,4.87,4.87,4.87,0.45,40.0,3880.0,35.50685,24.00528
14274,1.0,1.0,2.0,9.0,9.0,1.0,5.0,28.0,1.0,5.0,28,28,11,38,62,93,2.0,0.0,0.0,0.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,0.07,0.0,0.0,35.517616,23.934214
14275,1.0,2.0,3.0,7.0,7.0,1.5,3.0,365.0,3.0,3.0,365,365,0,22,44,247,13.0,7.0,0.0,7.0,4.46,4.85,4.77,4.46,4.69,4.62,4.62,0.4,42.0,3150.0,35.372536,24.250717
14276,1.0,2.0,3.0,78.0,82.0,1.0,5.0,30.0,5.0,5.0,1125,1125,0,21,51,177,39.0,17.0,0.0,17.0,4.95,4.87,4.97,4.87,4.87,4.64,4.92,1.15,170.0,15300.0,35.51087,24.01375
14277,1.0,2.0,2.0,2.0,2.0,1.0,2.0,90.0,2.0,2.0,1125,1125,21,51,79,229,5.0,2.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,4.8,4.8,0.15,12.0,648.0,35.317554,25.560247
14278,3.0,3.0,6.0,1.0,1.0,2.0,2.0,31.0,2.0,2.0,1125,1125,21,41,58,310,21.0,13.0,0.0,13.0,5.0,5.0,5.0,5.0,5.0,4.71,4.9,0.63,78.0,9126.0,35.32628,25.14031
14279,2.0,4.0,5.0,3.0,3.0,1.0,2.0,365.0,2.0,2.0,365,365,4,24,37,265,20.0,8.0,0.0,8.0,4.9,4.8,4.95,4.8,4.85,4.9,4.9,0.61,48.0,5952.0,35.51532,24.01857
14280,3.0,6.0,8.0,107.0,123.0,2.0,3.0,365.0,3.0,3.0,1125,1125,0,4,12,85,11.0,8.0,0.0,8.0,4.91,4.82,4.82,5.0,5.0,5.0,4.91,0.32,48.0,8352.0,35.328835,24.281429
14281,3.0,6.0,8.0,107.0,123.0,2.0,3.0,365.0,3.0,3.0,1125,1125,0,4,14,98,10.0,4.0,0.0,4.0,4.7,4.7,4.9,5.0,4.9,4.9,4.5,0.3,24.0,4512.0,35.32783,24.28092
14282,3.0,5.0,6.0,274.0,276.0,2.0,1.0,1125.0,1.0,3.0,1125,1125,6,19,40,126,36.0,17.0,0.0,17.0,4.86,4.97,4.81,4.81,4.92,4.78,4.86,1.04,102.0,12546.0,35.36679,24.51217
14283,3.0,3.0,5.0,4.0,4.0,2.0,5.0,365.0,5.0,5.0,365,365,28,58,88,363,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.17624,25.70428
14284,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1125.0,3.0,3.0,1125,1125,0,0,0,171,36.0,4.0,0.0,4.0,4.89,4.92,4.94,4.97,5.0,4.69,4.81,1.05,24.0,1200.0,35.516979,24.04146
14285,2.0,2.0,5.0,2.0,2.0,2.0,2.0,365.0,2.0,2.0,365,365,27,57,87,326,2.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,6.0,1320.0,35.02239,24.89197
14286,1.0,2.0,4.0,2.0,2.0,1.0,2.0,365.0,2.0,2.0,365,365,0,0,0,265,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.02196,24.89043
14287,1.0,2.0,5.0,1.0,1.0,1.0,2.0,60.0,2.0,2.0,60,60,0,21,32,189,27.0,10.0,0.0,10.0,4.93,4.93,4.96,4.89,4.89,4.78,4.85,0.78,60.0,4800.0,35.50916,24.00574
14288,1.0,3.0,4.0,2.0,3.0,1.0,3.0,365.0,3.0,3.0,1125,1125,30,60,90,365,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.295406,25.040382
14289,1.0,2.0,4.0,2.0,3.0,1.0,3.0,365.0,3.0,3.0,365,365,30,60,90,365,0.0,0.0,0.0,0.0,4.9,4.9,5.0,5.0,5.0,4.8,4.9,0.3,0.0,0.0,35.29277,25.03959
14290,1.0,1.0,2.0,118.0,140.0,1.0,2.0,365.0,2.0,2.0,365,365,21,32,49,247,4.0,2.0,0.0,2.0,5.0,5.0,4.75,5.0,5.0,5.0,4.75,0.12,12.0,492.0,35.09763,24.68763
14291,1.0,2.0,2.0,2.0,2.0,1.0,3.0,365.0,3.0,3.0,365,365,22,45,54,304,55.0,15.0,0.0,17.0,4.93,4.96,5.0,4.84,4.87,4.91,4.89,1.63,90.0,5130.0,35.518,24.02242
